review,compound,label
Absolutely loved the product! Quality is top-notch and delivery was fast.,0.6689,Positive
Terrible experience. The item arrived broken and support was unhelpful.,-0.5423,Negative
"Decent purchase for the price. Not amazing, but not bad either.",0.4096,Positive
The battery life is fantastic and the camera is crystal clear.,0.7351,Positive
Packaging was poor and the box was dented. Works fine though.,-0.3182,Negative
Customer service resolved my issue within minutes. Very satisfied!,0.623,Positive
I would not recommend this to anyone.,-0.2755,Negative
The colors looked washed out and the screen flickers sometimes.,0.0,Neutral
Great build quality and smooth performance!,0.6588,Positive
It's okay. Does the job.,0.2263,Positive
Exceeded my expectations in every way.,0.0,Neutral
The instructions were confusing and parts were missing.,-0.4767,Negative
Shipping took longer than expected.,0.0,Neutral
Brilliant design and easy to use.,0.7717,Positive
Mediocre at best; I regret the purchase.,0.34,Positive
I bought two and both work perfectly.,0.6369,Positive
The app keeps crashing. Annoying!,-0.4574,Negative
Surprisingly good for a budget option.,0.6249,Positive
Support is non-existent. Never buying again.,0.4019,Positive
Works as advertised.,0.0,Neutral
Outstanding value for money!,0.7712,Positive
Returned it the next day.,0.0,Neutral
Setup was quick and painless.,0.296,Positive
The sound quality is just average.,0.0,Neutral
Sturdy materials and comfortable to hold.,0.5106,Positive
Horrible smell from the fabric.,-0.5423,Negative
Exactly what I needed.,0.0,Neutral
Not worth the hype.,-0.1695,Negative
Fantastic after-sales service!,0.5983,Positive
Neutral experience overall.,0.0,Neutral
